交通機関,出発,到着,金額,参照元,備考
神戸市営地下鉄,三宮,新神戸,210,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,県庁前,210,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,大倉山,210,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,湊川公園,210,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,上沢,240,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,長田,240,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,新長田,240,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,板宿,280,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,妙法寺,310,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,名谷,310,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,総合運動公園,350,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,学園都市,350,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,伊川谷,380,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,西神南,380,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,西神中央,410,神戸市交通局 乗車料金表 S03,公式PDF 2024/10/1
神戸市営地下鉄,三宮,駒ヶ林,240,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
神戸市営地下鉄,三宮,苅藻,280,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
神戸市営地下鉄,三宮,御崎公園,280,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
神戸市営地下鉄,三宮,和田岬,280,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
神戸市営地下鉄,三宮,中央市場前,310,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
神戸市営地下鉄,三宮,ハーバーランド,310,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
神戸市営地下鉄,三宮,みなと元町,310,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
神戸市営地下鉄,三宮,旧居留地・大丸前,350,神戸市交通局 乗車料金表 S03,三宮・花時計前のりかえ
JR西日本,三ノ宮,元町,150,駅探 公開運賃検索,JR西日本公式ページでは駅別運賃表の機械取得が困難なため主要区間のみ
JR西日本,三ノ宮,摂津本山,200,駅探 公開運賃検索,主要区間
阪急,神戸三宮,岡本,200,NAVITIME/駅探 公開運賃検索,主要区間
阪神,元町,魚崎,250,NAVITIME/駅探 公開運賃検索,主要区間
山陽電車,山陽明石,山陽姫路,740,駅探 公開運賃検索,山陽電車公式運賃検索ページあり
神戸市営バス,三宮,元町,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,神戸駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,新神戸駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,神戸駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神姫バス,三宮（神姫バス神戸三宮バスターミナル）,神戸駅南口,230,神戸市交通局 共同運行路線注記,普通区料金と同じ共同運行路線のみの暫定登録
JR西日本,三ノ宮,明石,410,駅探/NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,三ノ宮,加古川,750,NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,三ノ宮,姫路,960,駅探/NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,元町,明石,410,駅探/NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,元町,加古川,750,駅探 公開運賃検索,主要校舎・勤務地間
JR西日本,元町,姫路,960,駅探/NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,摂津本山,明石,580,駅探/NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,摂津本山,加古川,960,駅探 公開運賃検索,主要校舎・勤務地間
JR西日本,摂津本山,姫路,1120,駅探/NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,明石,加古川,320,NAVITIME 公開運賃検索,主要校舎・勤務地間
JR西日本,加古川,姫路,320,NAVITIME/ジョルダン 公開運賃検索,主要校舎・勤務地間
阪急,神戸三宮,西宮北口,280,Yahoo!路線情報 公開運賃検索,主要区間
阪神,元町,西宮,280,駅探/NAVITIME 公開運賃検索,主要区間
山陽電車,山陽明石,山陽垂水,250,駅探/NAVITIME 公開運賃検索,主要区間
神戸市営バス,三宮,神戸駅南口,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,ハーバーランド,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,名谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,学園都市駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,三宮,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,元町,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,神戸駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,神戸駅南口,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,ハーバーランド,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,名谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,学園都市駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,新神戸駅前,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,神戸駅南口,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,ハーバーランド,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,名谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,学園都市駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,元町,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,神戸駅南口,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,ハーバーランド,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,名谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,学園都市駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅前,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅南口,ハーバーランド,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅南口,名谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅南口,学園都市駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅南口,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅南口,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅南口,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,神戸駅南口,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,ハーバーランド,名谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,ハーバーランド,学園都市駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,ハーバーランド,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,ハーバーランド,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,ハーバーランド,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,ハーバーランド,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,名谷駅前,学園都市駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,名谷駅前,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,名谷駅前,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,名谷駅前,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,名谷駅前,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,学園都市駅前,伊川谷駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,学園都市駅前,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,学園都市駅前,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,学園都市駅前,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,伊川谷駅前,西神中央駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,伊川谷駅前,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,伊川谷駅前,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,西神中央駅前,垂水駅,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,西神中央駅前,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
神戸市営バス,垂水駅,舞子駅前,230,神戸市交通局 市バス普通区,普通区均一運賃
