交通機関,出発,到着,金額,参照元,備考
神戸市営地下鉄,谷上,新神戸,,,自動取得不可
神戸市営地下鉄,谷上,三宮,,,自動取得不可
神戸市営地下鉄,谷上,県庁前,,,自動取得不可
神戸市営地下鉄,谷上,大倉山,,,自動取得不可
神戸市営地下鉄,谷上,湊川公園,,,自動取得不可
神戸市営地下鉄,谷上,上沢,,,自動取得不可
神戸市営地下鉄,谷上,長田,,,自動取得不可
神戸市営地下鉄,谷上,新長田,,,自動取得不可
神戸市営地下鉄,谷上,板宿,,,自動取得不可
神戸市営地下鉄,谷上,妙法寺,,,自動取得不可
神戸市営地下鉄,谷上,名谷,,,自動取得不可
神戸市営地下鉄,谷上,総合運動公園,,,自動取得不可
神戸市営地下鉄,谷上,学園都市,,,自動取得不可
神戸市営地下鉄,谷上,伊川谷,,,自動取得不可
神戸市営地下鉄,谷上,西神南,,,自動取得不可
神戸市営地下鉄,谷上,西神中央,,,自動取得不可
神戸市営地下鉄,谷上,三宮・花時計前,,,自動取得不可
神戸市営地下鉄,谷上,旧居留地・大丸前,,,自動取得不可
神戸市営地下鉄,谷上,みなと元町,,,自動取得不可
神戸市営地下鉄,谷上,ハーバーランド,,,自動取得不可
神戸市営地下鉄,谷上,中央市場前,,,自動取得不可
神戸市営地下鉄,谷上,和田岬,,,自動取得不可
神戸市営地下鉄,谷上,御崎公園,,,自動取得不可
神戸市営地下鉄,谷上,苅藻,,,自動取得不可
神戸市営地下鉄,谷上,駒ヶ林,,,自動取得不可
神戸市営地下鉄,新神戸,県庁前,,,自動取得不可
神戸市営地下鉄,新神戸,大倉山,,,自動取得不可
神戸市営地下鉄,新神戸,湊川公園,,,自動取得不可
神戸市営地下鉄,新神戸,上沢,,,自動取得不可
神戸市営地下鉄,新神戸,長田,,,自動取得不可
神戸市営地下鉄,新神戸,新長田,,,自動取得不可
神戸市営地下鉄,新神戸,板宿,,,自動取得不可
神戸市営地下鉄,新神戸,妙法寺,,,自動取得不可
神戸市営地下鉄,新神戸,名谷,,,自動取得不可
神戸市営地下鉄,新神戸,総合運動公園,,,自動取得不可
神戸市営地下鉄,新神戸,学園都市,,,自動取得不可
神戸市営地下鉄,新神戸,伊川谷,,,自動取得不可
神戸市営地下鉄,新神戸,西神南,,,自動取得不可
神戸市営地下鉄,新神戸,西神中央,,,自動取得不可
神戸市営地下鉄,新神戸,三宮・花時計前,,,自動取得不可
神戸市営地下鉄,新神戸,旧居留地・大丸前,,,自動取得不可
神戸市営地下鉄,新神戸,みなと元町,,,自動取得不可
神戸市営地下鉄,新神戸,ハーバーランド,,,自動取得不可
神戸市営地下鉄,新神戸,中央市場前,,,自動取得不可
神戸市営地下鉄,新神戸,和田岬,,,自動取得不可
神戸市営地下鉄,新神戸,御崎公園,,,自動取得不可
神戸市営地下鉄,新神戸,苅藻,,,自動取得不可
神戸市営地下鉄,新神戸,駒ヶ林,,,自動取得不可
神戸市営地下鉄,三宮,三宮・花時計前,,,自動取得不可
神戸市営地下鉄,県庁前,大倉山,,,自動取得不可
神戸市営地下鉄,県庁前,湊川公園,,,自動取得不可
神戸市営地下鉄,県庁前,上沢,,,自動取得不可
神戸市営地下鉄,県庁前,長田,,,自動取得不可
神戸市営地下鉄,県庁前,新長田,,,自動取得不可
神戸市営地下鉄,県庁前,板宿,,,自動取得不可
神戸市営地下鉄,県庁前,妙法寺,,,自動取得不可
神戸市営地下鉄,県庁前,名谷,,,自動取得不可
神戸市営地下鉄,県庁前,総合運動公園,,,自動取得不可
神戸市営地下鉄,県庁前,学園都市,,,自動取得不可
神戸市営地下鉄,県庁前,伊川谷,,,自動取得不可
神戸市営地下鉄,県庁前,西神南,,,自動取得不可
神戸市営地下鉄,県庁前,西神中央,,,自動取得不可
神戸市営地下鉄,県庁前,三宮・花時計前,,,自動取得不可
神戸市営地下鉄,県庁前,旧居留地・大丸前,,,自動取得不可
神戸市営地下鉄,県庁前,みなと元町,,,自動取得不可
神戸市営地下鉄,県庁前,ハーバーランド,,,自動取得不可
神戸市営地下鉄,県庁前,中央市場前,,,自動取得不可
神戸市営地下鉄,県庁前,和田岬,,,自動取得不可
神戸市営地下鉄,県庁前,御崎公園,,,自動取得不可
神戸市営地下鉄,県庁前,苅藻,,,自動取得不可
神戸市営地下鉄,県庁前,駒ヶ林,,,自動取得不可
神戸市営地下鉄,大倉山,湊川公園,,,自動取得不可
神戸市営地下鉄,大倉山,上沢,,,自動取得不可
神戸市営地下鉄,大倉山,長田,,,自動取得不可
神戸市営地下鉄,大倉山,新長田,,,自動取得不可
神戸市営地下鉄,大倉山,板宿,,,自動取得不可
神戸市営地下鉄,大倉山,妙法寺,,,自動取得不可
神戸市営地下鉄,大倉山,名谷,,,自動取得不可
神戸市営地下鉄,大倉山,総合運動公園,,,自動取得不可
神戸市営地下鉄,大倉山,学園都市,,,自動取得不可
神戸市営地下鉄,大倉山,伊川谷,,,自動取得不可
神戸市営地下鉄,大倉山,西神南,,,自動取得不可
神戸市営地下鉄,大倉山,西神中央,,,自動取得不可
神戸市営地下鉄,大倉山,三宮・花時計前,,,自動取得不可
神戸市営地下鉄,大倉山,旧居留地・大丸前,,,自動取得不可
神戸市営地下鉄,大倉山,みなと元町,,,自動取得不可
神戸市営地下鉄,大倉山,ハーバーランド,,,自動取得不可
神戸市営地下鉄,大倉山,中央市場前,,,自動取得不可
神戸市営地下鉄,大倉山,和田岬,,,自動取得不可
神戸市営地下鉄,大倉山,御崎公園,,,自動取得不可
神戸市営地下鉄,大倉山,苅藻,,,自動取得不可
神戸市営地下鉄,大倉山,駒ヶ林,,,自動取得不可
神戸市営地下鉄,湊川公園,上沢,,,自動取得不可
神戸市営地下鉄,湊川公園,長田,,,自動取得不可
神戸市営地下鉄,湊川公園,新長田,,,自動取得不可
神戸市営地下鉄,湊川公園,板宿,,,自動取得不可
神戸市営地下鉄,湊川公園,妙法寺,,,自動取得不可
神戸市営地下鉄,湊川公園,名谷,,,自動取得不可
神戸市営地下鉄,湊川公園,総合運動公園,,,自動取得不可
神戸市営地下鉄,湊川公園,学園都市,,,自動取得不可
神戸市営地下鉄,湊川公園,伊川谷,,,自動取得不可
神戸市営地下鉄,湊川公園,西神南,,,自動取得不可
神戸市営地下鉄,湊川公園,西神中央,,,自動取得不可
神戸市営地下鉄,湊川公園,三宮・花時計前,,,自動取得不可
神戸市営地下鉄,湊川公園,旧居留地・大丸前,,,自動取得不可
