交通機関,駅名,別名,路線,種別,備考
神戸市営地下鉄,谷上,,北神線,駅,
神戸市営地下鉄,新神戸,,西神・山手線,駅,
神戸市営地下鉄,三宮,地下鉄三宮/三宮駅,西神・山手線,駅,
神戸市営地下鉄,県庁前,,西神・山手線,駅,
神戸市営地下鉄,大倉山,,西神・山手線,駅,
神戸市営地下鉄,湊川公園,,西神・山手線,駅,
神戸市営地下鉄,上沢,,西神・山手線,駅,
神戸市営地下鉄,長田,長田神社前,西神・山手線,駅,
神戸市営地下鉄,新長田,,西神・山手線/海岸線,駅,
神戸市営地下鉄,板宿,,西神・山手線,駅,
神戸市営地下鉄,妙法寺,,西神・山手線,駅,
神戸市営地下鉄,名谷,,西神・山手線,駅,
神戸市営地下鉄,総合運動公園,,西神・山手線,駅,
神戸市営地下鉄,学園都市,,西神・山手線,駅,
神戸市営地下鉄,伊川谷,,西神・山手線,駅,
神戸市営地下鉄,西神南,,西神・山手線,駅,
神戸市営地下鉄,西神中央,,西神・山手線,駅,
神戸市営地下鉄,三宮・花時計前,三宮花時計前,海岸線,駅,
神戸市営地下鉄,旧居留地・大丸前,旧居留地大丸前,海岸線,駅,
神戸市営地下鉄,みなと元町,,海岸線,駅,
神戸市営地下鉄,ハーバーランド,,海岸線,駅,
神戸市営地下鉄,中央市場前,,海岸線,駅,
神戸市営地下鉄,和田岬,,海岸線,駅,
神戸市営地下鉄,御崎公園,,海岸線,駅,
神戸市営地下鉄,苅藻,,海岸線,駅,
神戸市営地下鉄,駒ヶ林,,海岸線,駅,
JR西日本,尼崎,,JR神戸線/JR宝塚線/JR東西線,駅,
JR西日本,立花,,JR神戸線,駅,
JR西日本,甲子園口,,JR神戸線,駅,
JR西日本,西宮,,JR神戸線,駅,
JR西日本,さくら夙川,,JR神戸線,駅,
JR西日本,芦屋,,JR神戸線,駅,
JR西日本,甲南山手,,JR神戸線,駅,
JR西日本,摂津本山,本山,JR神戸線,駅,
JR西日本,住吉,,JR神戸線,駅,
JR西日本,六甲道,,JR神戸線,駅,
JR西日本,摩耶,,JR神戸線,駅,
JR西日本,灘,,JR神戸線,駅,
JR西日本,三ノ宮,三宮/JR三ノ宮,JR神戸線,駅,
JR西日本,元町,,JR神戸線,駅,
JR西日本,神戸,,JR神戸線,駅,
JR西日本,兵庫,,JR神戸線,駅,
JR西日本,新長田,,JR神戸線,駅,
JR西日本,鷹取,,JR神戸線,駅,
JR西日本,須磨海浜公園,,JR神戸線,駅,
JR西日本,須磨,,JR神戸線,駅,
JR西日本,塩屋,,JR神戸線,駅,
JR西日本,垂水,,JR神戸線,駅,
JR西日本,舞子,,JR神戸線,駅,
JR西日本,朝霧,,JR神戸線,駅,
JR西日本,明石,,JR神戸線,駅,
JR西日本,西明石,,JR神戸線,駅,
JR西日本,大久保,,JR神戸線,駅,
JR西日本,魚住,,JR神戸線,駅,
JR西日本,土山,,JR神戸線,駅,
JR西日本,東加古川,,JR神戸線,駅,
JR西日本,加古川,,JR神戸線/加古川線,駅,
JR西日本,宝殿,,JR神戸線,駅,
JR西日本,曽根,,JR神戸線,駅,
JR西日本,ひめじ別所,,JR神戸線,駅,
JR西日本,御着,,JR神戸線,駅,
JR西日本,東姫路,,JR神戸線,駅,
JR西日本,姫路,,JR神戸線/山陽本線/播但線/姫新線,駅,
JR西日本,塚口,,JR宝塚線,駅,
JR西日本,猪名寺,,JR宝塚線,駅,
JR西日本,伊丹,,JR宝塚線,駅,
